key,code,moment,duration-start,duration-end,amount,project-type,email,link,draft-mode,key:project,key:sponsor
sponsorship-01,SP-000,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,true,project-01,sponsor-01
sponsorship-02.1,A-300,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,true,project-01,sponsor-01
sponsorship-02.2,ETR-460,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,true,project-01,sponsor-01
sponsorship-03.1,SP-001,2000/01/01 00:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,true,project-01,sponsor-01
sponsorship-03.2,SP-002,2000/01/01 00:01,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,true,project-01,sponsor-01
sponsorship-03.3,SP-003,2022/07/29 23:59,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,true,project-01,sponsor-01
sponsorship-03.4,SP-004,2022/07/30 00:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,true,project-01,sponsor-01
sponsorship-03.5,SP-005,2020/02/29 00:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,true,project-01,sponsor-01
sponsorship-04.1,SP-006,2022/07/29 23:00,2022/07/30 00:01,2022/11/23 21:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,true,project-01,sponsor-01
sponsorship-04.2,SP-007,2022/07/29 23:00,2022/07/30 00:02,2022/11/23 21:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,true,project-01,sponsor-01
sponsorship-04.3,SP-008,2022/07/29 23:00,2200/11/30 23:58,2200/12/31 21:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,true,project-01,sponsor-01
sponsorship-04.4,SP-009,2022/07/29 23:00,2200/11/30 23:59,2202/12/31 21:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,true,project-01,sponsor-01
sponsorship-04.5,SP-010,2022/07/29 23:00,2028/02/29 00:00,2030/11/23 21:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,true,project-01,sponsor-01
sponsorship-05.1,SP-011,2022/07/29 23:00,2022/09/01 10:00,2022/10/01 10:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,true,project-01,sponsor-01
sponsorship-05.2,SP-012,2022/07/29 23:00,2022/09/01 10:00,2022/10/01 10:01,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,true,project-01,sponsor-01
sponsorship-05.3,SP-013,2022/07/29 23:00,2022/09/01 10:00,2200/12/31 23:58,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,true,project-01,sponsor-01
sponsorship-05.4,SP-014,2022/07/29 23:00,2022/09/01 10:00,2200/12/31 23:59,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,true,project-01,sponsor-01
sponsorship-05.5,SP-015,2022/07/29 23:00,2022/09/01 10:00,2028/02/29 21:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,true,project-01,sponsor-01
sponsorship-06.1,SP-016,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 0.01",FINANCIAL,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,true,project-01,sponsor-01
sponsorship-06.2,SP-017,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 0.02",FINANCIAL,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,true,project-01,sponsor-01
sponsorship-06.3,SP-018,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 1,000,000",FINANCIAL,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,true,project-01,sponsor-01
sponsorship-06.4,SP-019,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 999,999.99",FINANCIAL,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,true,project-01,sponsor-01
sponsorship-06.5,SP-020,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"USD 100.00",FINANCIAL,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,true,project-01,sponsor-01
sponsorship-07,SP-021,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",IN_KIND,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,true,project-01,sponsor-01
sponsorship-08.1,SP-022,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",FINANCIAL,a@b.es,http://www.lorem-ipsum.org,true,project-01,sponsor-01
